stop_id,stop_name,stop_lat,stop_lon
50377,Stop 50377,45.562000,-73.662000
50398,Stop 50398,45.591000,-73.691000
50561,Stop 50561,45.529000,-73.629000
50579,Stop 50579,45.521000,-73.621000
50657,Stop 50657,45.526000,-73.626000
50665,Stop 50665,45.523000,-73.623000
50671,Stop 50671,45.574000,-73.674000
50681,Stop 50681,45.500000,-73.600000
50720,Stop 50720,45.514000,-73.614000
50734,Stop 50734,45.561000,-73.661000
50769,Stop 50769,45.590000,-73.690000
53948,Stop 53948,45.518000,-73.618000
55356,Stop 55356,45.531000,-73.631000
55479,Stop 55479,45.563000,-73.663000
55481,Stop 55481,45.598000,-73.698000
55482,Stop 55482,45.558000,-73.658000
55494,Stop 55494,45.544000,-73.644000
55511,Stop 55511,45.581000,-73.681000
55513,Stop 55513,45.563000,-73.663000
55514,Stop 55514,45.587000,-73.687000
55515,Stop 55515,45.539000,-73.639000
55538,Stop 55538,45.579000,-73.679000
55539,Stop 55539,45.566000,-73.666000
55540,Stop 55540,45.598000,-73.698000
55544,Stop 55544,45.500000,-73.600000
55553,Stop 55553,45.594000,-73.694000
55600,Stop 55600,45.568000,-73.668000
55602,Stop 55602,45.575000,-73.675000
55621,Stop 55621,45.560000,-73.660000
55655,Stop 55655,45.580000,-73.680000
55843,Stop 55843,45.574000,-73.674000
55855,Stop 55855,45.592000,-73.692000
55857,Stop 55857,45.584000,-73.684000
55858,Stop 55858,45.547000,-73.647000
55881,Stop 55881,45.520000,-73.620000
55908,Stop 55908,45.569000,-73.669000
55988,Stop 55988,45.512000,-73.612000
56110,Stop 56110,45.590000,-73.690000
56114,Stop 56114,45.548000,-73.648000
56115,Stop 56115,45.582000,-73.682000
56118,Stop 56118,45.514000,-73.614000
56119,Stop 56119,45.554000,-73.654000
56120,Stop 56120,45.588000,-73.688000
56139,Stop 56139,45.587000,-73.687000
56140,Stop 56140,45.550000,-73.650000
56141,Stop 56141,45.562000,-73.662000
56142,Stop 56142,45.567000,-73.667000
56143,Stop 56143,45.531000,-73.631000
56144,Stop 56144,45.512000,-73.612000
56145,Stop 56145,45.503000,-73.603000
61573,Stop 61573,45.582000,-73.682000
62013,Stop 62013,45.590000,-73.690000
62014,Stop 62014,45.599000,-73.699000
62015,Stop 62015,45.583000,-73.683000
62016,Stop 62016,45.507000,-73.607000
62017,Stop 62017,45.542000,-73.642000
62018,Stop 62018,45.558000,-73.658000
62019,Stop 62019,45.547000,-73.647000
62030,Stop 62030,45.599000,-73.699000
62032,Stop 62032,45.596000,-73.696000
62033,Stop 62033,45.566000,-73.666000
62376,Stop 62376,45.539000,-73.639000
